REGIONE,Candidato,PREFERENZE
TRENTINO-ALTO ADIGE,SILVIO BERLUSCONI,5664
TRENTINO-ALTO ADIGE,UGO BERTINELLI,2
TRENTINO-ALTO ADIGE,CHIARA BERTOGALLI,415
TRENTINO-ALTO ADIGE,EMANUELA BIAGI,6
TRENTINO-ALTO ADIGE,MARA BIZZOTTO,5375
TRENTINO-ALTO ADIGE,CRISTIAN BOLZONELLA,146
TRENTINO-ALTO ADIGE,ANDREA BONAZZA,624
TRENTINO-ALTO ADIGE,ANGELO BONELLI,1298
TRENTINO-ALTO ADIGE,PAOLO BORCHIA,1561
TRENTINO-ALTO ADIGE,DAVID BORRELLI,55
TRENTINO-ALTO ADIGE,ALICE BROMBIN,148
TRENTINO-ALTO ADIGE,ANNUNZIATA BRUNO,14
TRENTINO-ALTO ADIGE,ROBERTO BUSSINELLO,10
TRENTINO-ALTO ADIGE,STEFANIA CALCAGNO,57
TRENTINO-ALTO ADIGE,CARLO CALENDA,19421
TRENTINO-ALTO ADIGE,GLORIA CALLARELLI,0
TRENTINO-ALTO ADIGE,ANTONIO SILVIO CALO',1117
TRENTINO-ALTO ADIGE,ISABELLA CAMPANA,84
TRENTINO-ALTO ADIGE,VLADIMIRO CAMPELLO,15
TRENTINO-ALTO ADIGE,ANTONIO CANDIELLO,61
TRENTINO-ALTO ADIGE,CARLO ANDREA CARDONA,2
TRENTINO-ALTO ADIGE,VALENTINA CASTALDINI,171
TRENTINO-ALTO ADIGE,LUCA CASTELLINI,13
TRENTINO-ALTO ADIGE,ALESSIA CERENTIN,65
TRENTINO-ALTO ADIGE,CRISTIANO CERIELLO,107
TRENTINO-ALTO ADIGE,ADELMO CERVI,242
TRENTINO-ALTO ADIGE,ALESSANDRA CHIANTONI,88
TRENTINO-ALTO ADIGE,GIANMARCO CHILELLI,7
TRENTINO-ALTO ADIGE,GIOVANNI CHIUCCHI,5
TRENTINO-ALTO ADIGE,TIZIANA CIMOLINO,63
TRENTINO-ALTO ADIGE,RITA CINTI LUCIANI,101
TRENTINO-ALTO ADIGE,VALLI' CIPRIANI,523
TRENTINO-ALTO ADIGE,STEFANO CIRELLA,0
TRENTINO-ALTO ADIGE,LUCA CIRIANI,130
TRENTINO-ALTO ADIGE,FRANCESCO CLUN,3
TRENTINO-ALTO ADIGE,MAURO COLLINA,25
TRENTINO-ALTO ADIGE,SIMONE CONDORELLI,1
TRENTINO-ALTO ADIGE,CARLA CONDURSO,9
TRENTINO-ALTO ADIGE,FIORENZO CONSOLI,0
TRENTINO-ALTO ADIGE,ROSANNA CONTE,535
TRENTINO-ALTO ADIGE,SIMONE CONTRO,113
TRENTINO-ALTO ADIGE,FEDERICO CORSO,6
TRENTINO-ALTO ADIGE,GIUSEPPE COSSALTER,25
TRENTINO-ALTO ADIGE,EMANUELE CROSATO,31
TRENTINO-ALTO ADIGE,ELEONORA D'ANTONI,4
TRENTINO-ALTO ADIGE,MILENA D'IMPERIO,11
TRENTINO-ALTO ADIGE,GIANANTONIO DA RE,100
TRENTINO-ALTO ADIGE,VIVIANA DAL CIN,656
TRENTINO-ALTO ADIGE,CINZIA DAL ZOTTO,440
TRENTINO-ALTO ADIGE,RENATA DALFIUME,27
TRENTINO-ALTO ADIGE,LORENZO DAMIANO,0
TRENTINO-ALTO ADIGE,PHILIPPE LOUIS FRANCOIS DAVERIO,959
TRENTINO-ALTO ADIGE,MARCO DE ANDREIS,58
TRENTINO-ALTO ADIGE,MARTINE DE BIASI,1089
TRENTINO-ALTO ADIGE,LUISA DE BIASIO CALIMANI,46
TRENTINO-ALTO ADIGE,MIRKO DE CARLI,77
TRENTINO-ALTO ADIGE,PAOLO DE CASTRO,1450
TRENTINO-ALTO ADIGE,ISABELLA DE MONTE,1474
TRENTINO-ALTO ADIGE,ROSA DE NUNZIO,8
TRENTINO-ALTO ADIGE,LUIGI DI LIBERTO,41
TRENTINO-ALTO ADIGE,SIMONE DI STEFANO,531
TRENTINO-ALTO ADIGE,MATIAS EDUARDO DIAZ CRESCITELLI,69
TRENTINO-ALTO ADIGE,HERBERT DORFMANN,95753
TRENTINO-ALTO ADIGE,ISABELLA DOTTO,47
TRENTINO-ALTO ADIGE,MARCO DREOSTO,62
TRENTINO-ALTO ADIGE,MICHELE FACCI,119
TRENTINO-ALTO ADIGE,ROBERTO FIORE,40
TRENTINO-ALTO ADIGE,CLAUDIO FOCHI,116
TRENTINO-ALTO ADIGE,CRISTINA FOLCHINI,28
TRENTINO-ALTO ADIGE,EUGENIA FORTUNI,63
TRENTINO-ALTO ADIGE,CATERINA FOTI,24
TRENTINO-ALTO ADIGE,MONICA FRANCH,516
TRENTINO-ALTO ADIGE,LORENZO FRANCHI,2
TRENTINO-ALTO ADIGE,CARLA FRANCHINI,188
TRENTINO-ALTO ADIGE,IZTOK FURLANIČ,16
TRENTINO-ALTO ADIGE,EUGENIO FUSIGNANI,19
TRENTINO-ALTO ADIGE,CLAUDIA GAGLIANO,5
TRENTINO-ALTO ADIGE,SAVERIO GALLI TORRINI,2
TRENTINO-ALTO ADIGE,CLARA GALLOSI,55
TRENTINO-ALTO ADIGE,PAOLA GANZ,52
TRENTINO-ALTO ADIGE,ELISABETTA GARDINI,713
TRENTINO-ALTO ADIGE,MATTEO GAZZINI,10408
TRENTINO-ALTO ADIGE,FRANCESCA GEROSA,1463
TRENTINO-ALTO ADIGE,PAOLA GHIDONI,235
TRENTINO-ALTO ADIGE,MANUEL GHILARDELLI,25
TRENTINO-ALTO ADIGE,DANIELA GIANNINI,3
TRENTINO-ALTO ADIGE,GIACOMO GIANOLLA,33
TRENTINO-ALTO ADIGE,ILARIA GIORGETTI,38
TRENTINO-ALTO ADIGE,PAOLA GIROLAMI,11
TRENTINO-ALTO ADIGE,PAOLO GOTTARELLI,30
TRENTINO-ALTO ADIGE,ROBERTO GUALANDI,9
TRENTINO-ALTO ADIGE,ELISABETTA GUALMINI,4349
TRENTINO-ALTO ADIGE,ALESSANDRA GUATTERI,190
TRENTINO-ALTO ADIGE,LUIGI GUBELLO,76
TRENTINO-ALTO ADIGE,MARIA CECILIA GUERRA,1515
TRENTINO-ALTO ADIGE,ARAM GUREKIAN,10
TRENTINO-ALTO ADIGE,RENATE HOLZEISEN,22930
TRENTINO-ALTO ADIGE,FURIO HONSELL,315
TRENTINO-ALTO ADIGE,JUDITH KIENZL,4223
TRENTINO-ALTO ADIGE,KASHETU KYENGE,6109
TRENTINO-ALTO ADIGE,ALESSIO LA CHINA,2
TRENTINO-ALTO ADIGE,PAOLO LA TRIGLIA,3
TRENTINO-ALTO ADIGE,MICHELE LAGANA',3
TRENTINO-ALTO ADIGE,SALVATORE LANTINO,89
TRENTINO-ALTO ADIGE,NORBERT LANTSCHNER,9825
TRENTINO-ALTO ADIGE,LUCA LEARDINI,0
TRENTINO-ALTO ADIGE,ANNA LESO,65
TRENTINO-ALTO ADIGE,ELENA LIZZI,400
TRENTINO-ALTO ADIGE,FATOU BORO LO,220
TRENTINO-ALTO ADIGE,MANUELA MALANDRUCCO,6
TRENTINO-ALTO ADIGE,MARIO MALOSSINI,3638
TRENTINO-ALTO ADIGE,CHIARA MANCINI,78
TRENTINO-ALTO ADIGE,GIULIA MANZAN,16
TRENTINO-ALTO ADIGE,SILVJA MANZI,435
TRENTINO-ALTO ADIGE,STEFANIA MARCANTE,5
TRENTINO-ALTO ADIGE,MARIA MARCIANO',0
TRENTINO-ALTO ADIGE,MASSIMO MARIOTTI,200
TRENTINO-ALTO ADIGE,EMMA MARZARI,2
TRENTINO-ALTO ADIGE,ELENA MAZZONI,372
TRENTINO-ALTO ADIGE,GIORGIA MELONI,4672
TRENTINO-ALTO ADIGE,ULDERICA MENNELLA,49
TRENTINO-ALTO ADIGE,AGOSTINO MIGLIORINI,21
TRENTINO-ALTO ADIGE,ANDREA MONDINI,2
TRENTINO-ALTO ADIGE,PASQUALE MONTALTO,12
TRENTINO-ALTO ADIGE,ALBERTO MONTORO,18
TRENTINO-ALTO ADIGE,PIER PAOLO MORA,5
TRENTINO-ALTO ADIGE,ALESSANDRA MORETTI,3565
TRENTINO-ALTO ADIGE,MARCO MORI,110
TRENTINO-ALTO ADIGE,ROBERTA MORI,612
TRENTINO-ALTO ADIGE,ALBERTO MUSACCHIO,42
TRENTINO-ALTO ADIGE,ALESSANDRO MUSTILLO,18
TRENTINO-ALTO ADIGE,KLAUS MUTSCHLECHNER,648
TRENTINO-ALTO ADIGE,DAVIDE NAVA,104
TRENTINO-ALTO ADIGE,LAURA NERI,28
TRENTINO-ALTO ADIGE,EMILIANO OCCHI,92
TRENTINO-ALTO ADIGE,MICHELE OLIVOTTO,19
TRENTINO-ALTO ADIGE,GABRIELE PADOVANI,51
TRENTINO-ALTO ADIGE,FRANCESCA PANGALLO,1
TRENTINO-ALTO ADIGE,GIUSEPPE PAPA,21
TRENTINO-ALTO ADIGE,GIORGIO PASETTO,100
TRENTINO-ALTO ADIGE,VALENTINA PIATTELLI,15
TRENTINO-ALTO ADIGE,FABIO PIETRELLA,107
TRENTINO-ALTO ADIGE,MARIA CHIARA PIEVATOLO,14
TRENTINO-ALTO ADIGE,SABRINA PIGNEDOLI,1182
TRENTINO-ALTO ADIGE,GIULIA PILLONI,414
TRENTINO-ALTO ADIGE,NADIA PISEDDU,170
TRENTINO-ALTO ADIGE,IRENE MARIA PIVETTI,951
TRENTINO-ALTO ADIGE,FEDERICO PIZZAROTTI,1508
TRENTINO-ALTO ADIGE,SONJA ANNA PLANK,926
TRENTINO-ALTO ADIGE,KATIA PORTARO,6
TRENTINO-ALTO ADIGE,ALFREDO POSTERARO,3
TRENTINO-ALTO ADIGE,FAUSTO POZZOBON,14
TRENTINO-ALTO ADIGE,GIUSEPPE PRAŠEL,32
TRENTINO-ALTO ADIGE,SILVIA PRODI,817
TRENTINO-ALTO ADIGE,FRANCESCA PUGLISI,972
TRENTINO-ALTO ADIGE,MAURIZIO PUGLISI GHIZZI,149
TRENTINO-ALTO ADIGE,LAURA PUPPATO,2099
TRENTINO-ALTO ADIGE,ANNA TONIA RAVICINI,57
TRENTINO-ALTO ADIGE,ILENIA RENTO,748
TRENTINO-ALTO ADIGE,DANIELA RINALDINI,33
TRENTINO-ALTO ADIGE,MARCO RIZZO,277
TRENTINO-ALTO ADIGE,FRANCESCO ROLLERI,24
TRENTINO-ALTO ADIGE,FEDERICA SABBATI,275
TRENTINO-ALTO ADIGE,VALENTINO ANTONIO SACCO,27
TRENTINO-ALTO ADIGE,LUCA SACCONE,110
TRENTINO-ALTO ADIGE,MATTEO SALVINI,43321
TRENTINO-ALTO ADIGE,MARIA CRISTINA SANDRIN,277
TRENTINO-ALTO ADIGE,MASSIMILIANO SANTINI,114
TRENTINO-ALTO ADIGE,ISABELLA SARTOGO,13
TRENTINO-ALTO ADIGE,GIULIA SASSO,2
TRENTINO-ALTO ADIGE,SANDRA SAVINO,229
TRENTINO-ALTO ADIGE,MATTEO SEGATTA,1126
TRENTINO-ALTO ADIGE,CLAUDIA SEGNANA,1728
TRENTINO-ALTO ADIGE,REMO SERNAGIOTTO,310
TRENTINO-ALTO ADIGE,SILVIA STEFANI,11
TRENTINO-ALTO ADIGE,GIANFRANCO STELLA,151
TRENTINO-ALTO ADIGE,IVO TAROLLI,678
TRENTINO-ALTO ADIGE,MONICA TESS,14
TRENTINO-ALTO ADIGE,ROBERTA TOFFANIN,173
TRENTINO-ALTO ADIGE,PATRIZIA TOSELLI,6
TRENTINO-ALTO ADIGE,MATTEO TOSETTO,12
TRENTINO-ALTO ADIGE,ROSANNA TRACUZZI SPADARO,12
TRENTINO-ALTO ADIGE,MARCO TRAPASSI,1
TRENTINO-ALTO ADIGE,MARIA GRAZIA TROMBETTA,5
TRENTINO-ALTO ADIGE,ELISABETTA UCCELLO,68
TRENTINO-ALTO ADIGE,MARTINA VALENTINCIC,35
TRENTINO-ALTO ADIGE,MASSIMO VALPIANA,195
TRENTINO-ALTO ADIGE,ACHILLE VARIATI,133
TRENTINO-ALTO ADIGE,STEFANIA VENIR,4
TRENTINO-ALTO ADIGE,MANUELA VETTORELLO,4
TRENTINO-ALTO ADIGE,CANZIO GIUSEPPE VISENTIN,10
TRENTINO-ALTO ADIGE,OTTO VON DELLEMANN,563
TRENTINO-ALTO ADIGE,LAYLA YUSUF MOHAMUD,227
TRENTINO-ALTO ADIGE,SILVIA ZAMBONI,1822
TRENTINO-ALTO ADIGE,MARIA CHIARA ZANDONELLA FRACCHIEL,12
TRENTINO-ALTO ADIGE,CRISTIANO ZANELLA,3336
TRENTINO-ALTO ADIGE,LUISANTONIO ZANIN,42
TRENTINO-ALTO ADIGE,VALERIO ZOGGIA,10
TRENTINO-ALTO ADIGE,MARCO ZULLO,919
UMBRIA,FRANCESCO ACQUAROLI,298
UMBRIA,MARIO ADINOLFI,389
UMBRIA,MATTEO ADINOLFI,400
UMBRIA,LAURA AGEA,4163
UMBRIA,CATERINA AGRO',262
UMBRIA,JACOPO ALBERTI,111
UMBRIA,ARIANNA ALESSANDRINI,65
UMBRIA,TIZIANA ALTERIO,437
UMBRIA,MONICA AMICI,11
UMBRIA,ORAZIO ANANIA,4
UMBRIA,ROBERTA ANGELILLI,159
UMBRIA,ALFREDO ANTONIOZZI,107
UMBRIA,CECILIA ARMELLINI,13
UMBRIA,SILVIA CAMILLA AVAGNINA,24
UMBRIA,SIMONA RENATA BALDASSARRE,719
UMBRIA,MONICA STEFANIA BALDI,48
UMBRIA,CRISTINA DIANA BARGU,9
UMBRIA,PIETRO BARTOLO,7376
UMBRIA,BENGASI BATTISTI,46
UMBRIA,MARCO BENEDETTELLI,39
UMBRIA,SARA BENIGNI,12
UMBRIA,LAURA BERGAMINI,84
UMBRIA,GIOVANNI PAOLO BERNINI,91
UMBRIA,MARCO BERTOLINI,217
UMBRIA,GERMANA BIAGIONI,1
UMBRIA,SONIA BIANCHI,0
UMBRIA,LAURA BIANCINI,1
UMBRIA,ANGELO BOLAFFI,236
UMBRIA,LEO BOLLETTINI,132
UMBRIA,GINEVRA ROBERTA BOMPIANI,162
UMBRIA,SIMONA BONAFE',8348
UMBRIA,SARA BONANNO,13
UMBRIA,FERDINANDO BONESSIO,36
UMBRIA,RITA BONFIOLI,1
UMBRIA,ANNA BONFRISCO,698
UMBRIA,EMMA BONINO,2768
UMBRIA,PIERGIORGIO BONOMI,409
UMBRIA,RAFFAELLA BONSANGUE,87
UMBRIA,MARTINA BORRA,7
UMBRIA,SABRINA BOSU,4
UMBRIA,VANIA BRACALETTI,74
UMBRIA,BEATRICE  BRIGNONE,153
UMBRIA,ANNUNZIATA BRUNO,8
UMBRIA,SALVATORE CABRAS,1
UMBRIA,MARCO ANSELMO LUCA CALAMARI,15
UMBRIA,ISABELLA CAMPANA,26
UMBRIA,ELISABETTA CAMPUS,8
UMBRIA,MARIO CANINO,26
UMBRIA,CARLOTTA CAPONI,1908
UMBRIA,MAURELLA CARBONE,66
UMBRIA,ADRIANO CARDOGNA,19
UMBRIA,IVANILDE CARVALHO,60
UMBRIA,FABIO MASSIMO CASTALDO,2108
UMBRIA,RAMONA CASTELLINO,9
UMBRIA,SALVATORE CATELLO,6
UMBRIA,SUSANNA CECCARDI,763
UMBRIA,TIZIANO CENSI,7
UMBRIA,ALESSIA CENTIONI,359
UMBRIA,ANDREA CERCHI,0
UMBRIA,CRISTIANO CERIELLO,49
UMBRIA,CARLOTTA CHIARALUCE,229
UMBRIA,LUCA CIARROCCA,44
UMBRIA,STEFANO CICCONE,84
UMBRIA,MARIA ROSARIA CIPOLLINI,8
UMBRIA,GIUSEPPE CIVATI,475
UMBRIA,IDA COLLU,40
UMBRIA,ALESSANDRO COLUZZI,10
UMBRIA,ANNALISA CORRADO,371
UMBRIA,BEATRICE COVASSI,526
UMBRIA,ELVIO COVINO,11
UMBRIA,ALESSANDRO CRESCENZI,9
UMBRIA,BENEDETTO CROCCO,5
UMBRIA,ELEONORA D'ANTONI,10
UMBRIA,NICOLA DANTI,2128
UMBRIA,MARCO DE ANDREIS,14
UMBRIA,MICHELE DE LAZZARO,0
UMBRIA,GIOVANNI DE LUCIA,217
UMBRIA,SALVATORE DE MEO,78
UMBRIA,NATASCIA DE SANCTIS,4
UMBRIA,FLAVIO DEL SOLDATO,6
UMBRIA,NICOLETTA DENTICO,90
UMBRIA,YURI DI BENEDETTO,301
UMBRIA,CATERINA DI BITONTO,13
UMBRIA,LUIGI DI LIBERTO,34
UMBRIA,SIMONE DI STEFANO,461
UMBRIA,MARIA DIMASI,12
UMBRIA,ALESSANDRO DOLCI,2
UMBRIA,ROBERTA FANTOZZI,519
UMBRIA,ROSAPIA FARESE,19
UMBRIA,ALESSANDRA FEDUZI,130
UMBRIA,JACOPO MARIA FERRI,225
UMBRIA,ENRICO FINETTI,13
UMBRIA,ROBERTO FIORE,50
UMBRIA,GIOVANNI FIORI,4
UMBRIA,LUCIA FIRMANI,5
UMBRIA,ANNA CHIARA  FORTE,54
UMBRIA,NICOLA FRATOIANNI,1611
UMBRIA,STEFANO FUCCELLI,49
UMBRIA,SERGIO FUCITO,25
UMBRIA,ELISA GASPARRONI,4
UMBRIA,FABRIZIO GHERA,131
UMBRIA,DANIELA GIANNINI,14
UMBRIA,COSIMO GIORGETTI,137
UMBRIA,LISA GIUGGIOLINI,90
UMBRIA,ILARIA GIURLANI,1
UMBRIA,ARIANNA GRANDINETTI ,1
UMBRIA,MARILENA GRASSADONIA,1011
UMBRIA,TOMMASO GRASSI,45
UMBRIA,ROBERTO GUALTIERI,3013
UMBRIA,GIOVANNI GUIDI,1374
UMBRIA,COSTANZA HERMANIN DE REICHENFELD,171
UMBRIA,CRISTINA IACOVACCI,4
UMBRIA,GIAN PIERO JOIME,2
UMBRIA,SALVATORE LADAGA,65
UMBRIA,LORENZO LANG,13
UMBRIA,CAMILLA LAURETI,15441
UMBRIA,GIUSEPPE LAVALLE,1
UMBRIA,SILVIA  LODA',5
UMBRIA,MAURO LUCENTINI,106
UMBRIA,CARMELA LUONGO,8
UMBRIA,GIANLUCA MACONE,39
UMBRIA,CONCETTA MAESTRINI,82
UMBRIA,NICOLA MAGI,220
UMBRIA,FULVIO CARLO MAIORCA,45
UMBRIA,SILVJA MANZI,39
UMBRIA,GIOVANNI MAZZOTTA,221
UMBRIA,SANDRO MEDICI,209
UMBRIA,GIORGIA MELONI,6247
UMBRIA,FRANCESCO MINGIARDI,61
UMBRIA,MARCO MONDINI,2
UMBRIA,STEFANIA MONTEVERDE,74
UMBRIA,ALBERTO MONTORO,2
UMBRIA,MATTIA MORBIDONI,52
UMBRIA,ALBERTO MUSACCHIO,27
UMBRIA,ALESSANDRA MUSSOLINI,1212
UMBRIA,ALESSANDRO MUSTILLO,43
UMBRIA,ALESSANDRA NARDINI,318
UMBRIA,SILVIA NOFERI,108
UMBRIA,FILIPPO NOGARIN,1985
UMBRIA,LINA NOVELLI,236
UMBRIA,CLAUDIO PARISINI,6
UMBRIA,STEFANO PASTORELLI,8648
UMBRIA,ANGELO PAVONCELLO,223
UMBRIA,FRANCESCA  PEPPUCCI,11711
UMBRIA,NATASCIA PERINO,0
UMBRIA,ALESSIO PESTELLI,20
UMBRIA,EMANUELA PETER,1
UMBRIA,DIEGO PETRUCCI,30
UMBRIA,GIULIA PEZZELLA,71
UMBRIA,ELISABETTA PEZZINI,50
UMBRIA,GUIDO  PIANESELLI,15
UMBRIA,VALENTINA PIATTELLI,8
UMBRIA,FEDERICA PICCHI,629
UMBRIA,RITA PIERI,21
UMBRIA,MARIA CHIARA PIEVATOLO,9
UMBRIA,MICHELE PINASSI,5
UMBRIA,NICOLA PROCACCINI,1940
UMBRIA,NUNZIATA PROVITINA,2
UMBRIA,ELENA PULCINI,37
UMBRIA,FRANCESCO RABOTTI,12
UMBRIA,MICHELA RAMAGLIONI,1
UMBRIA,ANNA TONIA RAVICINI,20
UMBRIA,MARIO RAZZANELLI,8
UMBRIA,SIMONE REBICHINI,88
UMBRIA,LUISA REGIMENTI,209
UMBRIA,NOEMI PAOLA RICCARDI,18
UMBRIA,ANTONIO MARIA RINALDI,2856
UMBRIA,NICCOLO' RINALDI,94
UMBRIA,DANIELA RINALDINI,8
UMBRIA,FEDORA PATRIZIA RIZZO,3
UMBRIA,MARCO RIZZO,449
UMBRIA,LUCA ROMAGNOLI,154
UMBRIA,CHIARA AMBRA ROMANO,4
UMBRIA,DANIELA RONDINELLI,1605
UMBRIA,MARIA VERONICA ROSSI,2540
UMBRIA,ANNA MARIA COSTANZA ROZZI,24
UMBRIA,MAMADOU SALL,362
UMBRIA,ULIANO SALVATORI,1
UMBRIA,MATTEO SALVINI,41910
UMBRIA,GUIDO SANTONI,1
UMBRIA,DAVID MARIA SASSOLI,8420
UMBRIA,INGRID SATTEL,10
UMBRIA,STEFANIA SCHIPANI,14
UMBRIA,MICHELA SCIURPA,3698
UMBRIA,FABIO SEBASTIANELLI,4
UMBRIA,LAURA SERVA,18
UMBRIA,MICHELE SGARIGLIA,2
UMBRIA,AUGUSTO SINAGRA,10
UMBRIA,MASSIMILIANO SMERIGLIO,2157
UMBRIA,EMMANUELE SOMMA,6
UMBRIA,GIANFRANCO SPADACCIA,28
UMBRIA,SILVIA STEFANI,11
UMBRIA,GABRIELLA MARIA STRIZZI,10
UMBRIA,CLAUDIO TAGLIA,18
UMBRIA,ANTONIO TAJANI,5497
UMBRIA,DARIO TAMBURRANO,474
UMBRIA,MARCO TARADASH,424
UMBRIA,OLIMPIA TARZIA,174
UMBRIA,LAURA TERRANA,11
UMBRIA,ETTORE TOGNERI,66
UMBRIA,RICCARDO TRAVAGLINI,130
UMBRIA,OLIMPIA TROILI,257
UMBRIA,ANDREA VENTURA,96
UMBRIA,ANTONFRANCESCO VENTURINI,33
UMBRIA,FABIO MASSIMO VERNILLO,1
UMBRIA,BIANCA VERRILLO,262
UMBRIA,ARIANNA VERUCCI,2081
UMBRIA,FRANCESCO VIRGILI,1
UMBRIA,STELLA VISCONTI,153
UMBRIA,ELENA VIZZOTTO,88
UMBRIA,LUISANTONIO  ZANIN,10
UMBRIA,UMBERTO ZIMARRI,27
UMBRIA,FELICE ZINGARELLI,31
UMBRIA,ELISABETTA ZUCCARO,153
VALLE D'AOSTA,GIORGIO AGNELLINI,1
VALLE D'AOSTA,FRANCESCO ALBERONI,34
VALLE D'AOSTA,PAOLO ALLI,11
VALLE D'AOSTA,MASSIMO AMATO,26
VALLE D'AOSTA,MONICA AMICI,4
VALLE D'AOSTA,HEIDI MONICA ANDREINA,59
VALLE D'AOSTA,ALBERTO ANGHILERI,5
VALLE D'AOSTA,GEORGIOS APOSTOLOU,2
VALLE D'AOSTA,GIANCARLO ARCHETTI,1
VALLE D'AOSTA,CIRO MASSIMO ARGENTINO,2
VALLE D'AOSTA,AMIR ATROUS,1
VALLE D'AOSTA,LUCA AVAGNINA,4
VALLE D'AOSTA,SILVIA CAMILLA AVAGNINA,5
VALLE D'AOSTA,CATERINA AVANZA,55
VALLE D'AOSTA,CRISTINA BAGNOLI,10
VALLE D'AOSTA,DARIO BALOTTA,4
VALLE D'AOSTA,SALVATORE BARBAGALLO,3
VALLE D'AOSTA,GIOVANNI  BARBIERI,0
VALLE D'AOSTA,ILARIA BARBONETTI,6
VALLE D'AOSTA,SIMONA BARELLO,25
VALLE D'AOSTA,CRISTINA DIANA BARGU,6
VALLE D'AOSTA,ANNALISA BARONI,3
VALLE D'AOSTA,GIOVANNINA BASTONE,1
VALLE D'AOSTA,TIZIANA BEGHIN,211
VALLE D'AOSTA,BRANDO MARIA BENIFEI,103
VALLE D'AOSTA,LAURA BERGAMINI,7
VALLE D'AOSTA,MAURIZIO BERGER,1
VALLE D'AOSTA,SILVIO BERLUSCONI,1044
VALLE D'AOSTA,GIOVANNI BERRINO,10
VALLE D'AOSTA,MONICA BERSANETTI,6
VALLE D'AOSTA,ELISABETTA BERTA,1
VALLE D'AOSTA,MAURIZIA BERTONCINO,21
VALLE D'AOSTA,FABRIZIO BERTOT,22
VALLE D'AOSTA,LAURA BIANCINI,0
VALLE D'AOSTA,SANDRA MARGARETTA ANNA BONANNI,0
VALLE D'AOSTA,SARA BONANNO,2
VALLE D'AOSTA,IGOR BONI,19
VALLE D'AOSTA,UBALDO EMILIO BORCHI,4
VALLE D'AOSTA,PAUL STEPHEN BORILE,1
VALLE D'AOSTA,DAMIANO BORMOLINI,56
VALLE D'AOSTA,IVANA BORSOTTO,58
VALLE D'AOSTA,CINZIA MARIA BOSSO,6
VALLE D'AOSTA,ANTONELLA BOTTARELLI,0
VALLE D'AOSTA,RONNI BOTTAZZI,0
VALLE D'AOSTA,MARIA GABRIELLA BRANCA,8
VALLE D'AOSTA,FABIO AARON BRANCOTTI,1
VALLE D'AOSTA,MERCEDES BRESSO,382
VALLE D'AOSTA,ANNUNZIATA BRUNO,2
VALLE D'AOSTA,LORENZO CAFARCHIO,0
VALLE D'AOSTA,MARCO ANSELMO LUCA CALAMARI,3
VALLE D'AOSTA,STEFANIA CALCAGNO,6
VALLE D'AOSTA,ISABELLA CAMPANA,12
VALLE D'AOSTA,MARCO CAMPOMENOSI,34
VALLE D'AOSTA,DUILIO CANU,0
VALLE D'AOSTA,ALESSANDRA CAPPELLARI,77
VALLE D'AOSTA,ANTONIO CAPUTO,10
VALLE D'AOSTA,SERGIO CARU',0
VALLE D'AOSTA,ROSARIO  CARVELLI,3
VALLE D'AOSTA,EUGENIO CASALINO,58
VALLE D'AOSTA,MARTA CASIRAGHI,57
VALLE D'AOSTA,CRISTINA CASSARIN,2
VALLE D'AOSTA,CRISTINA ELISA CATTAFESTA,3
VALLE D'AOSTA,DANTE CATTANEO,57
VALLE D'AOSTA,ALLEGRA MIRIAM CAVALLI,0
VALLE D'AOSTA,VALENTINA CERA,18
VALLE D'AOSTA,CRISTIANO CERIELLO,11
VALLE D'AOSTA,SILVANA CESANI,2
VALLE D'AOSTA,MARINA CHIARELLI,2
VALLE D'AOSTA,PAOLO CIANALINO,0
VALLE D'AOSTA,ANGELO CIOCCA,75
VALLE D'AOSTA,ALESSANDRO CIOFINI,2
VALLE D'AOSTA,ELEONORA CIRANT,35
VALLE D'AOSTA,MARCO CIURCINA,2
VALLE D'AOSTA,GIUSEPPE CIVATI,95
VALLE D'AOSTA,NICOLA CLERICI,22
VALLE D'AOSTA,PAOLA LETIZIA  COGGI,48
VALLE D'AOSTA,LARA COMI,311
VALLE D'AOSTA,MARTINA COMPARELLI,12
VALLE D'AOSTA,CARMELA CORTESE,0
VALLE D'AOSTA,BENEDETTA GAIA COSMI,4
VALLE D'AOSTA,EDDA CROSA,2116
VALLE D'AOSTA,PAOLO CROSIGNANI,3
VALLE D'AOSTA,GABRIELLA  D'AMATO,8
VALLE D'AOSTA,ELEONORA D'ANTONI,1
VALLE D'AOSTA,LUCA DAMIAN,0
VALLE D'AOSTA,MARIA ANGELA DANZI',113
VALLE D'AOSTA,ANGELO DAVOLI,0
VALLE D'AOSTA,MARCO DE ANDREIS,1
VALLE D'AOSTA,ROSA DE MATTEIS,1
VALLE D'AOSTA,ANGELA  DE ROSA,58
VALLE D'AOSTA,BENEDETTO DELLA VEDOVA,92
VALLE D'AOSTA,CHRISTIAN DI FEO,18
VALLE D'AOSTA,LUIGI DI LIBERTO,16
VALLE D'AOSTA,ALESSANDRO DI PIERRO,17
VALLE D'AOSTA,SIMONE DI STEFANO,76
VALLE D'AOSTA,VERONICA DINI,16
VALLE D'AOSTA,FRANCESCA DRUETTI,29
VALLE D'AOSTA,PAOLA EVANGELISTI,1
VALLE D'AOSTA,ELEONORA EVI,112
VALLE D'AOSTA,GIULIANO FACCANI,9
VALLE D'AOSTA,GIOVANNI FARINA,1
VALLE D'AOSTA,ELISABETTA FATUZZO,2
